class,animus1,animus1_rarity,animus1_upgrade_level,animus2,animus2_rarity,animus2_upgrade_level,bane,malice_orbs,mission_district,mission_type,outcome,kills,weapon_kills,thrash_kills,malediction_kills,annihilation_kills,deaths,perfect_infusions,failed_infusions,times_dodged,duration_seconds
Arcanist,Revolvers,Green,5,Machine Guns,Blue,1,Fear & Loathing,8,Aristocratic Ward,Elite Incursion,Extracted,149,99,31,15,4,0,13,10,74,3518
Immortal,Automatic Rifles,Purple,5,Bolt Action Rifles,White,0,Warden,13,Military District,Incursion,Extracted,60,37,9,8,6,2,8,7,26,1447
Wraith,Trench Guns,Blue,3,Trench Guns,Blue,10,Lunar Warhorn,5,Military District,Invasion,Extracted,36,24,6,4,2,2,2,2,30,1112
Monolith,Revolvers,Blue,3,Automatic Rifles,White,0,Wurm Food,8,Aristocratic Ward,Incursion,Extracted,20,15,3,1,1,0,3,6,27,1132
Immortal,Automatic Rifles,Green,2,Automatic Rifles,White,0,Fear & Loathing,9,Iron Slums,Eclipse Protocol,Extracted,12,8,2,2,0,0,3,1,13,402
Hellion,Automatic Rifles,White,0,Lever Action Rifles,Blue,5,Korzuul's Head,10,Military District,Incursion,Extracted,9,6,1,1,1,0,1,3,11,761
Monolith,Revolvers,White,0,Trench Guns,Blue,2,Theory of Captivity,12,Aristocratic Ward,Incursion,Extracted,77,44,19,7,7,1,9,6,61,2075
Occultist,Trench Guns,White,0,Machine Guns,Blue,8,Fear & Loathing,5,Marketplace,Lair,Extracted,7,5,1,1,0,2,0,0,11,459
Occultist,Bolt Action Rifles,Green,10,Trench Guns,Green,3,Postmaster,11,Military District,Incursion,Extracted,9,7,2,0,0,0,2,3,3,182
Hellion,Automatic Rifles,White,0,Bolt Action Rifles,White,0,Postmaster,9,Aristocratic Ward,Lair,Extracted,34,21,8,5,0,2,5,4,15,909
Immortal,Bolt Action Rifles,Blue,4,Trench Guns,White,0,Soul Reaper,8,Aristocratic Ward,Elite Incursion,Extracted,29,18,7,3,1,1,2,3,18,1085
Arcanist,Bolt Action Rifles,Blue,7,Bolt Action Rifles,Orange,0,Farsight,7,Aristocratic Ward,Elite Incursion,Extracted,40,23,7,6,4,0,6,4,38,2348
Hellion,Revolvers,White,0,Machine Guns,Blue,8,Wolfpack,6,Foundry Sector,Elite Incursion,Extracted,3,3,0,0,0,0,0,1,4,163
Occultist,Automatic Rifles,Blue,6,Trench Guns,Purple,1,Wurm Food,11,Foundry Sector,Elite Incursion,Extracted,23,15,5,2,1,0,2,0,34,1309
Immortal,Automatic Rifles,White,0,Automatic Rifles,Blue,4,Wolfpack,10,Iron Slums,Eclipse Protocol,Extracted,37,24,10,3,0,0,2,3,18,1187
Occultist,Revolvers,White,0,Bolt Action Rifles,Green,15,Lunar Warhorn,3,Aristocratic Ward,Elite Incursion,Fallen,106,61,27,9,9,1,8,4,59,2390
Wraith,Automatic Rifles,Green,7,Revolvers,White,0,Fear & Loathing,0,Aristocratic Ward,Invasion,Extracted,22,15,4,2,1,0,2,5,11,603
Occultist,Trench Guns,White,0,Trench Guns,Blue,1,Soul Reaper,14,Foundry Sector,Elite Incursion,Fallen,40,26,10,4,0,3,3,1,29,1094
Immortal,Trench Guns,Blue,4,Trench Guns,Green,11,Wurm Food,4,Iron Slums,Elite Incursion,Extracted,15,9,4,2,0,0,1,2,18,556
Occultist,Bolt Action Rifles,Purple,4,Trench Guns,Blue,3,Wurm Food,13,Wilderness,Incursion,Extracted,27,17,5,2,3,0,2,3,27,1035
Wraith,Automatic Rifles,Purple,1,Revolvers,White,0,Soul Reaper,11,Marketplace,Incursion,Extracted,26,18,4,2,2,1,2,3,36,1377
Monolith,Bolt Action Rifles,Orange,0,Lever Action Rifles,Blue,2,Postmaster,9,Iron Slums,Lair,Extracted,41,27,7,6,1,1,3,6,28,1383
Monolith,Automatic Rifles,Purple,3,Trench Guns,Purple,1,Wurm Food,8,Military District,Incursion,Extracted,8,5,2,1,0,0,1,2,4,279
Hellion,Lever Action Rifles,Purple,3,Revolvers,White,0,Wolfpack,9,Wilderness,Elite Incursion,Extracted,4,3,1,0,0,2,3,2,4,237
Immortal,Bolt Action Rifles,Blue,10,Bolt Action Rifles,Orange,0,Postmaster,9,Wilderness,Incursion,Extracted,15,10,3,2,0,2,1,3,13,505
Hellion,Automatic Rifles,Green,13,Revolvers,Blue,6,Wolfpack,13,Aristocratic Ward,Incursion,Extracted,5,4,1,0,0,2,2,3,4,133
Arcanist,Machine Guns,Purple,3,Machine Guns,White,0,Korzuul's Head,7,Aristocratic Ward,Lair,Extracted,51,27,14,9,1,1,5,3,31,1143
Occultist,Revolvers,Green,9,Lever Action Rifles,Blue,1,Korzuul's Head,8,Marketplace,Elite Incursion,Extracted,29,17,8,4,0,3,4,4,33,1104
Monolith,Machine Guns,White,0,Lever Action Rifles,White,0,Soul Reaper,12,Iron Slums,Elite Incursion,Extracted,11,8,2,1,0,1,1,0,17,734
